<BEGIN>
AVERAGE RESPONSE, PROCESSING TIME PER CONFIGURATION, SCHEDULE STRATEGY, QUEST:
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 4.109999895095825, 2.58)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 4.109999895095825, 2.21)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 4.109999895095825, 1.83)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 2.929999828338623, 1.41)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.nominal.arff', 1.4800000190734863, 0.43)
(u'10.2.2.2', u'401', u'RndRob', u'WEKA_3_6_12:::weka.classifiers.trees.J48 -t:::weather.numeric.arff', 1.8299999237060547, 0.77)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::credit-g.arff', 5.110000133514404, 1.53)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.bayes.NaiveBayes -t:::iris.2D.arff', 4.519999980926514, 0.92)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::credit-g.arff', 259.0, 257.48)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.MultilayerPerceptron -t:::iris.2D.arff', 6.009999990463257, 2.42)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::breast-cancer.arff', 4.960000038146973, 3.91)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.functions.SMO -t:::labor.arff', 3.2300000190734863, 2.16)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::breast-cancer.arff', 3.930000066757202, 2.4)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.meta.AdaBoostM1 -t:::labor.arff', 3.56000018119812, 2.02)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.arff', 3.3500001430511475, 1.81)
(u'10.2.2.3', u'041', u'FIFO', u'WEKA_3_6_12:::weka.classifiers.trees.DecisionStump -t:::cpu.with.vendor.arff', 3.3400001525878906, 1.81)
